punto,este,norte,elevacion,descrip
333,809896.976,8077329.908,2920.465,p25
334,809896.797,8077330.571,2920.581,p26
335,809897.595,8077332.447,2921.456,p27
336,809898.392,8077337.756,2924.32,p28
337,809900.23,8077343.54,2922.919,p29
338,809908.861,8077363.476,2925.13,p30
339,809919.648,8077365.41,2925.545,p31
340,809934.928,8077366.192,2924.464,p32
341,809941.377,8077444.488,2937.631,p33
342,809946.752,8077441.531,2936.191,p34
343,809973.339,8077433.25,2934.018,p35
344,809983.527,8077429.464,2932.161,p36
345,809996.507,8077425.492,2929.051,p37
346,810001.441,8077422.434,2927.542,p38
347,810004.324,8077421.183,2926.932,p39
348,810012.87,8077418.806,2926.176,p40
349,810022.509,8077416.095,2925.15,p41
350,810029.823,8077413.41,2924.545,p42
351,810029.859,8077413.127,2924.821,p43
352,810024.486,8077354.208,2915.871,p44
353,810026.426,8077361.836,2916.99,p45
354,810027.739,8077366.704,2917.156,p46
355,810026.479,8077371.694,2917.152,p47
356,810075.67,8077359.572,2912.331,p48
357,810072.391,8077364.266,2912.685,p49
358,810020.602,8077318.309,2911.064,p50
359,810018.597,8077295.298,2909.639,p51
360,810038.289,8077290.638,2907.253,p52
361,810042.607,8077322.999,2909.765,p53
362,810033.748,8077325.478,2910.755,p54
363,810023.266,8077327.842,2912.92,p55
364,810073.46,8077314.768,2905.684,p56
365,810075.51,8077313.828,2905.204,p57
366,810082.357,8077283.883,2901.71,p58
367,810068.223,8077411.388,2920.757,p59
368,810059.241,8077463.227,2931.199,p60
369,810050.957,8077496.113,2940.134,p61
370,810041.11,8077544.104,2951.391,p62
371,810033.036,8077570.864,2958.151,p63
372,810044.843,8077609.921,2957.213,p64
373,810022.232,8077555.279,2958.079,p65
374,810026.17,8077558.434,2958.154,p66
375,810013.573,8077549.631,2958.334,p67
376,810008.705,8077547.599,2958.084,p68
377,809997.5,8077546.522,2958.983,p69
378,809983.31,8077549.423,2959.209,p70
379,809956.425,8077564.228,2960.59,p71
380,809931.82,8077577.093,2965.981,p72
381,809919.844,8077577.884,2966.706,p73
382,809915.455,8077580.466,2963.648,p74
383,809911.331,8077605.543,2963.673,p75
384,809907.894,8077627.847,2965.509,p76
385,809907.436,8077635.081,2966.531,p77
386,809906.711,8077652.838,2969.396,p78
387,809916.306,8077697.614,2973.129,p79
388,809939.868,8077828.22,2991.9,p80
389,809940.252,8077821.227,2990.625,p81
390,809939.445,8077814.855,2990.247,p82
391,809939.813,8077809.585,2990.002,p83
392,809938.914,8077806.685,2989.77,p84
393,809937.156,8077796.826,2989.184,p85
394,809936.315,8077794.085,2988.866,p86
